filepath,label
Audio_Song_Actors_01-24\Actor_07\03-02-01-01-01-02-07.pt,1
Audio_Song_Actors_01-24\Actor_07\03-02-01-01-02-02-07.pt,1
Audio_Song_Actors_01-24\Actor_07\03-02-02-01-01-01-07.pt,2
Audio_Song_Actors_01-24\Actor_07\03-02-02-01-01-02-07.pt,2
Audio_Song_Actors_01-24\Actor_07\03-02-02-01-02-01-07.pt,2
Audio_Song_Actors_01-24\Actor_07\03-02-02-01-02-02-07.pt,2
Audio_Song_Actors_01-24\Actor_07\03-02-02-02-01-01-07.pt,2
Audio_Song_Actors_01-24\Actor_07\03-02-02-02-02-02-07.pt,2
Audio_Song_Actors_01-24\Actor_07\03-02-03-01-01-01-07.pt,3
Audio_Song_Actors_01-24\Actor_07\03-02-03-01-01-02-07.pt,3
Audio_Song_Actors_01-24\Actor_07\03-02-03-01-02-01-07.pt,3
Audio_Song_Actors_01-24\Actor_07\03-02-03-02-01-01-07.pt,3
Audio_Song_Actors_01-24\Actor_07\03-02-03-02-01-02-07.pt,3
Audio_Song_Actors_01-24\Actor_07\03-02-03-02-02-02-07.pt,3
Audio_Song_Actors_01-24\Actor_07\03-02-04-01-01-01-07.pt,4
Audio_Song_Actors_01-24\Actor_07\03-02-04-01-01-02-07.pt,4
Audio_Song_Actors_01-24\Actor_07\03-02-04-01-02-02-07.pt,4
Audio_Song_Actors_01-24\Actor_07\03-02-04-02-02-02-07.pt,4
Audio_Song_Actors_01-24\Actor_07\03-02-05-01-01-01-07.pt,5
Audio_Song_Actors_01-24\Actor_07\03-02-05-01-02-01-07.pt,5
Audio_Song_Actors_01-24\Actor_07\03-02-05-02-01-01-07.pt,5
Audio_Song_Actors_01-24\Actor_07\03-02-05-02-01-02-07.pt,5
Audio_Song_Actors_01-24\Actor_07\03-02-05-02-02-01-07.pt,5
Audio_Song_Actors_01-24\Actor_07\03-02-05-02-02-02-07.pt,5
Audio_Song_Actors_01-24\Actor_07\03-02-06-01-01-01-07.pt,6
Audio_Song_Actors_01-24\Actor_07\03-02-06-01-01-02-07.pt,6
Audio_Song_Actors_01-24\Actor_07\03-02-06-01-02-01-07.pt,6
Audio_Song_Actors_01-24\Actor_07\03-02-06-01-02-02-07.pt,6
Audio_Song_Actors_01-24\Actor_07\03-02-06-02-01-01-07.pt,6
Audio_Song_Actors_01-24\Actor_07\03-02-06-02-02-01-07.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-01-01-01-02-08.pt,1
Audio_Song_Actors_01-24\Actor_08\03-02-01-01-02-01-08.pt,1
Audio_Song_Actors_01-24\Actor_08\03-02-01-01-02-02-08.pt,1
Audio_Song_Actors_01-24\Actor_08\03-02-02-01-01-02-08.pt,2
Audio_Song_Actors_01-24\Actor_08\03-02-02-01-02-02-08.pt,2
Audio_Song_Actors_01-24\Actor_08\03-02-02-02-01-01-08.pt,2
Audio_Song_Actors_01-24\Actor_08\03-02-02-02-01-02-08.pt,2
Audio_Song_Actors_01-24\Actor_08\03-02-02-02-02-02-08.pt,2
Audio_Song_Actors_01-24\Actor_08\03-02-03-01-01-02-08.pt,3
Audio_Song_Actors_01-24\Actor_08\03-02-03-01-02-01-08.pt,3
Audio_Song_Actors_01-24\Actor_08\03-02-03-01-02-02-08.pt,3
Audio_Song_Actors_01-24\Actor_08\03-02-03-02-01-01-08.pt,3
Audio_Song_Actors_01-24\Actor_08\03-02-03-02-01-02-08.pt,3
Audio_Song_Actors_01-24\Actor_08\03-02-04-01-01-01-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-04-01-02-01-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-04-01-02-02-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-04-02-01-01-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-04-02-01-02-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-04-02-02-01-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-04-02-02-02-08.pt,4
Audio_Song_Actors_01-24\Actor_08\03-02-05-01-01-02-08.pt,5
Audio_Song_Actors_01-24\Actor_08\03-02-05-01-02-01-08.pt,5
Audio_Song_Actors_01-24\Actor_08\03-02-05-02-01-01-08.pt,5
Audio_Song_Actors_01-24\Actor_08\03-02-05-02-01-02-08.pt,5
Audio_Song_Actors_01-24\Actor_08\03-02-05-02-02-01-08.pt,5
Audio_Song_Actors_01-24\Actor_08\03-02-05-02-02-02-08.pt,5
Audio_Song_Actors_01-24\Actor_08\03-02-06-01-01-01-08.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-06-01-01-02-08.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-06-01-02-01-08.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-06-02-01-01-08.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-06-02-01-02-08.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-06-02-02-01-08.pt,6
Audio_Song_Actors_01-24\Actor_08\03-02-06-02-02-02-08.pt,6
Audio_Song_Actors_01-24\Actor_09\03-02-01-01-01-02-09.pt,1
Audio_Song_Actors_01-24\Actor_09\03-02-01-01-02-01-09.pt,1
Audio_Song_Actors_01-24\Actor_09\03-02-01-01-02-02-09.pt,1
Audio_Song_Actors_01-24\Actor_09\03-02-02-01-01-02-09.pt,2
Audio_Song_Actors_01-24\Actor_09\03-02-02-02-01-01-09.pt,2
Audio_Song_Actors_01-24\Actor_09\03-02-02-02-02-01-09.pt,2
Audio_Song_Actors_01-24\Actor_09\03-02-02-02-02-02-09.pt,2
Audio_Song_Actors_01-24\Actor_09\03-02-03-01-02-01-09.pt,3
Audio_Song_Actors_01-24\Actor_09\03-02-03-01-02-02-09.pt,3
Audio_Song_Actors_01-24\Actor_09\03-02-03-02-01-01-09.pt,3
Audio_Song_Actors_01-24\Actor_09\03-02-03-02-01-02-09.pt,3
Audio_Song_Actors_01-24\Actor_09\03-02-03-02-02-01-09.pt,3
Audio_Song_Actors_01-24\Actor_09\03-02-03-02-02-02-09.pt,3
Audio_Song_Actors_01-24\Actor_09\03-02-04-01-02-02-09.pt,4
Audio_Song_Actors_01-24\Actor_09\03-02-04-02-01-01-09.pt,4
Audio_Song_Actors_01-24\Actor_09\03-02-04-02-01-02-09.pt,4
Audio_Song_Actors_01-24\Actor_09\03-02-04-02-02-02-09.pt,4
Audio_Song_Actors_01-24\Actor_09\03-02-05-01-01-01-09.pt,5
Audio_Song_Actors_01-24\Actor_09\03-02-05-01-01-02-09.pt,5
Audio_Song_Actors_01-24\Actor_09\03-02-05-01-02-01-09.pt,5
Audio_Song_Actors_01-24\Actor_09\03-02-05-02-02-01-09.pt,5
Audio_Song_Actors_01-24\Actor_09\03-02-05-02-02-02-09.pt,5
Audio_Song_Actors_01-24\Actor_09\03-02-06-01-01-02-09.pt,6
Audio_Song_Actors_01-24\Actor_09\03-02-06-01-02-01-09.pt,6
Audio_Song_Actors_01-24\Actor_09\03-02-06-01-02-02-09.pt,6
Audio_Song_Actors_01-24\Actor_09\03-02-06-02-01-01-09.pt,6
Audio_Song_Actors_01-24\Actor_09\03-02-06-02-01-02-09.pt,6
Audio_Song_Actors_01-24\Actor_09\03-02-06-02-02-02-09.pt,6
Audio_Song_Actors_01-24\Actor_10\03-02-01-01-01-01-10.pt,1
Audio_Song_Actors_01-24\Actor_10\03-02-01-01-01-02-10.pt,1
Audio_Song_Actors_01-24\Actor_10\03-02-01-01-02-01-10.pt,1
Audio_Song_Actors_01-24\Actor_10\03-02-01-01-02-02-10.pt,1
Audio_Song_Actors_01-24\Actor_10\03-02-02-01-01-01-10.pt,2
Audio_Song_Actors_01-24\Actor_10\03-02-02-01-01-02-10.pt,2
Audio_Song_Actors_01-24\Actor_10\03-02-02-01-02-01-10.pt,2
Audio_Song_Actors_01-24\Actor_10\03-02-02-01-02-02-10.pt,2
Audio_Song_Actors_01-24\Actor_10\03-02-02-02-01-02-10.pt,2
Audio_Song_Actors_01-24\Actor_10\03-02-02-02-02-02-10.pt,2
Audio_Song_Actors_01-24\Actor_10\03-02-03-01-01-02-10.pt,3
Audio_Song_Actors_01-24\Actor_10\03-02-03-01-02-01-10.pt,3
Audio_Song_Actors_01-24\Actor_10\03-02-03-02-01-01-10.pt,3
Audio_Song_Actors_01-24\Actor_10\03-02-03-02-01-02-10.pt,3
Audio_Song_Actors_01-24\Actor_10\03-02-03-02-02-02-10.pt,3
Audio_Song_Actors_01-24\Actor_10\03-02-04-01-01-01-10.pt,4
Audio_Song_Actors_01-24\Actor_10\03-02-04-01-02-01-10.pt,4
Audio_Song_Actors_01-24\Actor_10\03-02-04-01-02-02-10.pt,4
Audio_Song_Actors_01-24\Actor_10\03-02-04-02-01-02-10.pt,4
Audio_Song_Actors_01-24\Actor_10\03-02-04-02-02-01-10.pt,4
Audio_Song_Actors_01-24\Actor_10\03-02-04-02-02-02-10.pt,4
Audio_Song_Actors_01-24\Actor_10\03-02-05-01-01-02-10.pt,5
Audio_Song_Actors_01-24\Actor_10\03-02-05-01-02-02-10.pt,5
Audio_Song_Actors_01-24\Actor_10\03-02-05-02-01-01-10.pt,5
Audio_Song_Actors_01-24\Actor_10\03-02-05-02-01-02-10.pt,5
Audio_Song_Actors_01-24\Actor_10\03-02-05-02-02-01-10.pt,5
Audio_Song_Actors_01-24\Actor_10\03-02-05-02-02-02-10.pt,5
Audio_Song_Actors_01-24\Actor_10\03-02-06-01-02-02-10.pt,6
Audio_Song_Actors_01-24\Actor_10\03-02-06-02-02-01-10.pt,6
Audio_Song_Actors_01-24\Actor_11\03-02-01-01-01-02-11.pt,1
Audio_Song_Actors_01-24\Actor_11\03-02-01-01-02-02-11.pt,1
Audio_Song_Actors_01-24\Actor_11\03-02-02-01-01-01-11.pt,2
Audio_Song_Actors_01-24\Actor_11\03-02-02-01-01-02-11.pt,2
Audio_Song_Actors_01-24\Actor_11\03-02-02-01-02-02-11.pt,2
Audio_Song_Actors_01-24\Actor_11\03-02-02-02-01-01-11.pt,2
Audio_Song_Actors_01-24\Actor_11\03-02-02-02-02-01-11.pt,2
Audio_Song_Actors_01-24\Actor_11\03-02-03-01-01-02-11.pt,3
Audio_Song_Actors_01-24\Actor_11\03-02-03-01-02-01-11.pt,3
Audio_Song_Actors_01-24\Actor_11\03-02-03-01-02-02-11.pt,3
Audio_Song_Actors_01-24\Actor_11\03-02-03-02-01-02-11.pt,3
Audio_Song_Actors_01-24\Actor_11\03-02-04-01-01-01-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-04-01-01-02-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-04-01-02-01-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-04-01-02-02-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-04-02-01-01-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-04-02-01-02-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-04-02-02-01-11.pt,4
Audio_Song_Actors_01-24\Actor_11\03-02-05-01-02-01-11.pt,5
Audio_Song_Actors_01-24\Actor_11\03-02-05-01-02-02-11.pt,5
Audio_Song_Actors_01-24\Actor_11\03-02-05-02-01-02-11.pt,5
Audio_Song_Actors_01-24\Actor_11\03-02-05-02-02-01-11.pt,5
Audio_Song_Actors_01-24\Actor_11\03-02-05-02-02-02-11.pt,5
Audio_Song_Actors_01-24\Actor_11\03-02-06-01-01-01-11.pt,6
Audio_Song_Actors_01-24\Actor_11\03-02-06-01-01-02-11.pt,6
Audio_Song_Actors_01-24\Actor_11\03-02-06-02-01-01-11.pt,6
Audio_Song_Actors_01-24\Actor_11\03-02-06-02-01-02-11.pt,6
Audio_Song_Actors_01-24\Actor_11\03-02-06-02-02-01-11.pt,6
Audio_Song_Actors_01-24\Actor_11\03-02-06-02-02-02-11.pt,6
Audio_Song_Actors_01-24\Actor_12\03-02-01-01-02-01-12.pt,1
Audio_Song_Actors_01-24\Actor_12\03-02-01-01-02-02-12.pt,1
Audio_Song_Actors_01-24\Actor_12\03-02-02-01-01-01-12.pt,2
Audio_Song_Actors_01-24\Actor_12\03-02-02-01-01-02-12.pt,2
Audio_Song_Actors_01-24\Actor_12\03-02-02-01-02-01-12.pt,2
Audio_Song_Actors_01-24\Actor_12\03-02-02-01-02-02-12.pt,2
Audio_Song_Actors_01-24\Actor_12\03-02-02-02-02-02-12.pt,2
Audio_Song_Actors_01-24\Actor_12\03-02-03-01-01-01-12.pt,3
Audio_Song_Actors_01-24\Actor_12\03-02-03-01-02-01-12.pt,3
Audio_Song_Actors_01-24\Actor_12\03-02-03-02-01-01-12.pt,3
Audio_Song_Actors_01-24\Actor_12\03-02-03-02-01-02-12.pt,3
Audio_Song_Actors_01-24\Actor_12\03-02-03-02-02-01-12.pt,3
Audio_Song_Actors_01-24\Actor_12\03-02-03-02-02-02-12.pt,3
Audio_Song_Actors_01-24\Actor_12\03-02-04-01-01-01-12.pt,4
Audio_Song_Actors_01-24\Actor_12\03-02-04-01-01-02-12.pt,4
Audio_Song_Actors_01-24\Actor_12\03-02-04-01-02-01-12.pt,4
Audio_Song_Actors_01-24\Actor_12\03-02-04-01-02-02-12.pt,4
Audio_Song_Actors_01-24\Actor_12\03-02-04-02-01-02-12.pt,4
Audio_Song_Actors_01-24\Actor_12\03-02-04-02-02-01-12.pt,4
Audio_Song_Actors_01-24\Actor_12\03-02-05-01-01-01-12.pt,5
